no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 12 ---
--- Job Slurm ID: 504169 | Tache: 4/12 ---
--- Modele: fcae | Strategie: unrolling | Dataset: data_1 | Mode: full ---
--- Arguments specifiques : (aucun) ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : FCAE | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_1
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/fcae/unrolling/data_1/20260827-120221_full
[INFO] Modèle FCAE instancié.
--- [TRAIN] FCAE (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 1/50 | Tr: 2.7172e-02 | Val: 3.8891e-04 | T: 0.7s
Ep 2/50 | Tr: 1.8030e-04 | Val: 2.4156e-04 | T: 0.5s
Ep 3/50 | Tr: 1.2006e-04 | Val: 1.5720e-04 | T: 0.5s
Ep 4/50 | Tr: 8.7739e-05 | Val: 1.0327e-04 | T: 0.5s
Ep 5/50 | Tr: 6.6513e-05 | Val: 8.9807e-05 | T: 0.5s
Ep 6/50 | Tr: 5.6049e-05 | Val: 6.4659e-05 | T: 0.5s
Ep 7/50 | Tr: 4.6811e-05 | Val: 5.5474e-05 | T: 0.5s
Ep 8/50 | Tr: 4.1531e-05 | Val: 4.6218e-05 | T: 0.5s
Ep 9/50 | Tr: 3.6579e-05 | Val: 4.3648e-05 | T: 0.5s
Ep 10/50 | Tr: 3.5924e-05 | Val: 3.5062e-05 | T: 0.5s
Ep 11/50 | Tr: 3.2030e-05 | Val: 3.3033e-05 | T: 0.5s
Ep 12/50 | Tr: 3.1620e-05 | Val: 3.0817e-05 | T: 0.5s
Ep 13/50 | Tr: 2.9161e-05 | Val: 2.9769e-05 | T: 0.5s
Ep 14/50 | Tr: 2.8566e-05 | Val: 2.6389e-05 | T: 0.5s
Ep 15/50 | Tr: 2.6647e-05 | Val: 2.6492e-05 | T: 0.5s
Ep 16/50 | Tr: 2.5957e-05 | Val: 2.5566e-05 | T: 0.5s
Ep 17/50 | Tr: 2.5934e-05 | Val: 2.4575e-05 | T: 0.5s
Ep 18/50 | Tr: 2.4720e-05 | Val: 2.3636e-05 | T: 0.5s
Ep 19/50 | Tr: 2.4228e-05 | Val: 2.3077e-05 | T: 0.5s
Ep 20/50 | Tr: 2.3935e-05 | Val: 2.1802e-05 | T: 0.5s
Ep 21/50 | Tr: 2.3138e-05 | Val: 2.1633e-05 | T: 0.5s
Ep 22/50 | Tr: 2.2489e-05 | Val: 2.0223e-05 | T: 0.5s
Ep 23/50 | Tr: 2.2621e-05 | Val: 2.0395e-05 | T: 0.5s
Ep 24/50 | Tr: 2.1139e-05 | Val: 2.0011e-05 | T: 0.5s
Ep 25/50 | Tr: 2.1340e-05 | Val: 1.8897e-05 | T: 0.5s
Ep 26/50 | Tr: 2.0860e-05 | Val: 1.8618e-05 | T: 0.5s
