no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 30 ---
--- Job Slurm ID: 501940 | Tache: 6/30 ---
--- Modele: hq | Strategie: unrolling | Dataset: data_0 | Mode: full ---
--- Arguments specifiques : --num_layers 30 --num_pd_layers 10 ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : HQ | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_0
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/hq/unrolling/data_0/20260826-162333_full
[INFO] Modèle HQ instancié.
--- [TRAIN] HQ (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 1/50 | Tr: 2.2991e-05 | Val: 2.2284e-05 | T: 11.3s
Ep 2/50 | Tr: 2.2593e-05 | Val: 2.1718e-05 | T: 11.0s
Ep 3/50 | Tr: 2.1949e-05 | Val: 2.1075e-05 | T: 10.9s
Ep 4/50 | Tr: 2.1383e-05 | Val: 2.0658e-05 | T: 10.9s
Ep 5/50 | Tr: 2.1021e-05 | Val: 2.0346e-05 | T: 11.0s
Ep 6/50 | Tr: 2.0678e-05 | Val: 1.9960e-05 | T: 10.4s
Ep 7/50 | Tr: 2.0210e-05 | Val: 1.9364e-05 | T: 10.3s
Ep 8/50 | Tr: 1.9581e-05 | Val: 1.8759e-05 | T: 9.1s
Ep 9/50 | Tr: 1.9253e-05 | Val: 1.8625e-05 | T: 11.0s
Ep 10/50 | Tr: 1.9214e-05 | Val: 1.8609e-05 | T: 11.0s
Ep 11/50 | Tr: 1.9198e-05 | Val: 1.8588e-05 | T: 10.6s
Ep 12/50 | Tr: 1.9177e-05 | Val: 1.8568e-05 | T: 9.9s
Ep 13/50 | Tr: 1.9151e-05 | Val: 1.8540e-05 | T: 10.1s
Ep 14/50 | Tr: 1.9122e-05 | Val: 1.8515e-05 | T: 10.4s
Ep 15/50 | Tr: 1.9096e-05 | Val: 1.8486e-05 | T: 10.4s
Ep 16/50 | Tr: 1.9078e-05 | Val: 1.8472e-05 | T: 9.2s
Ep 17/50 | Tr: 1.9061e-05 | Val: 1.8461e-05 | T: 9.8s
Ep 18/50 | Tr: 1.9048e-05 | Val: 1.8451e-05 | T: 10.3s
Ep 19/50 | Tr: 1.9038e-05 | Val: 1.8440e-05 | T: 9.9s
Ep 20/50 | Tr: 1.9031e-05 | Val: 1.8429e-05 | T: 11.0s
Ep 21/50 | Tr: 1.9023e-05 | Val: 1.8425e-05 | T: 11.0s
Ep 22/50 | Tr: 1.9016e-05 | Val: 1.8413e-05 | T: 11.0s
Ep 23/50 | Tr: 1.9009e-05 | Val: 1.8412e-05 | T: 11.0s
Ep 24/50 | Tr: 1.9004e-05 | Val: 1.8401e-05 | T: 11.0s
Ep 25/50 | Tr: 1.8998e-05 | Val: 1.8399e-05 | T: 10.4s
Ep 26/50 | Tr: 1.8994e-05 | Val: 1.8396e-05 | T: 9.6s
Ep 27/50 | Tr: 1.8989e-05 | Val: 1.8396e-05 | T: 10.0s
Ep 28/50 | Tr: 1.8986e-05 | Val: 1.8391e-05 | T: 10.6s
Ep 29/50 | Tr: 1.8982e-05 | Val: 1.8385e-05 | T: 9.4s
Ep 30/50 | Tr: 1.8978e-05 | Val: 1.8381e-05 | T: 10.4s
Ep 31/50 | Tr: 1.8974e-05 | Val: 1.8387e-05 | T: 10.6s
Ep 32/50 | Tr: 1.8972e-05 | Val: 1.8376e-05 | T: 11.0s
Ep 33/50 | Tr: 1.8968e-05 | Val: 1.8374e-05 | T: 11.0s
Ep 34/50 | Tr: 1.8965e-05 | Val: 1.8372e-05 | T: 9.6s
Ep 35/50 | Tr: 1.8962e-05 | Val: 1.8376e-05 | T: 9.2s
Ep 36/50 | Tr: 1.8958e-05 | Val: 1.8361e-05 | T: 11.0s
Ep 37/50 | Tr: 1.8956e-05 | Val: 1.8361e-05 | T: 11.0s
Ep 38/50 | Tr: 1.8952e-05 | Val: 1.8353e-05 | T: 11.0s
Ep 39/50 | Tr: 1.8939e-05 | Val: 1.8341e-05 | T: 11.0s
Ep 40/50 | Tr: 1.8916e-05 | Val: 1.8321e-05 | T: 11.0s
Ep 41/50 | Tr: 1.8861e-05 | Val: 1.8267e-05 | T: 10.4s
