no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 12 ---
--- Job Slurm ID: 504176 | Tache: 10/12 ---
--- Modele: fcun | Strategie: unrolling | Dataset: data_2 | Mode: full ---
--- Arguments specifiques : (aucun) ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : FCUN | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_2
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/fcun/unrolling/data_2/20260827-120340_full
[INFO] Modèle FCUN instancié.
--- [TRAIN] FCUN (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 1/50 | Tr: 1.0269e-02 | Val: 1.0745e-05 | T: 0.9s
Ep 2/50 | Tr: 1.1479e-05 | Val: 1.0745e-05 | T: 0.7s
Ep 3/50 | Tr: 1.1105e-05 | Val: 1.0627e-05 | T: 0.7s
Ep 4/50 | Tr: 1.1002e-05 | Val: 1.0547e-05 | T: 0.7s
Ep 5/50 | Tr: 1.0958e-05 | Val: 1.0581e-05 | T: 0.7s
Ep 6/50 | Tr: 1.0896e-05 | Val: 1.0586e-05 | T: 0.7s
Ep 7/50 | Tr: 1.0837e-05 | Val: 1.0576e-05 | T: 0.7s
Ep 8/50 | Tr: 1.0834e-05 | Val: 1.0525e-05 | T: 0.7s
Ep 9/50 | Tr: 1.0830e-05 | Val: 1.0511e-05 | T: 0.7s
Ep 10/50 | Tr: 1.0749e-05 | Val: 1.0477e-05 | T: 0.7s
Ep 11/50 | Tr: 1.0870e-05 | Val: 1.0482e-05 | T: 0.7s
Ep 12/50 | Tr: 1.0717e-05 | Val: 1.0431e-05 | T: 0.7s
Ep 13/50 | Tr: 1.0723e-05 | Val: 1.0459e-05 | T: 0.7s
Ep 14/50 | Tr: 1.0733e-05 | Val: 1.0333e-05 | T: 0.7s
Ep 15/50 | Tr: 1.0700e-05 | Val: 1.0509e-05 | T: 0.7s
Ep 16/50 | Tr: 1.0643e-05 | Val: 1.0306e-05 | T: 0.7s
Ep 17/50 | Tr: 1.0632e-05 | Val: 1.0338e-05 | T: 0.7s
Ep 18/50 | Tr: 1.0577e-05 | Val: 1.0402e-05 | T: 0.7s
Ep 19/50 | Tr: 1.0566e-05 | Val: 1.0195e-05 | T: 0.7s
Ep 20/50 | Tr: 1.0513e-05 | Val: 1.0295e-05 | T: 0.7s
Ep 21/50 | Tr: 1.0483e-05 | Val: 1.0095e-05 | T: 0.7s
Ep 22/50 | Tr: 1.0487e-05 | Val: 1.0075e-05 | T: 0.7s
Ep 23/50 | Tr: 1.0378e-05 | Val: 9.9613e-06 | T: 0.7s
Ep 24/50 | Tr: 1.0346e-05 | Val: 9.9952e-06 | T: 0.7s
Ep 25/50 | Tr: 1.0265e-05 | Val: 9.9008e-06 | T: 0.7s
Ep 26/50 | Tr: 1.0191e-05 | Val: 9.9015e-06 | T: 0.7s
Ep 27/50 | Tr: 1.0114e-05 | Val: 9.6007e-06 | T: 0.7s
Ep 28/50 | Tr: 1.0047e-05 | Val: 9.6440e-06 | T: 0.7s
Ep 29/50 | Tr: 9.9814e-06 | Val: 9.3359e-06 | T: 0.6s
Ep 30/50 | Tr: 9.9082e-06 | Val: 9.3377e-06 | T: 0.7s
Ep 31/50 | Tr: 9.7124e-06 | Val: 9.1681e-06 | T: 0.7s
Ep 32/50 | Tr: 9.6251e-06 | Val: 8.9246e-06 | T: 0.7s
Ep 33/50 | Tr: 9.5018e-06 | Val: 8.7817e-06 | T: 0.7s
Ep 34/50 | Tr: 9.3800e-06 | Val: 8.6103e-06 | T: 0.7s
Ep 35/50 | Tr: 9.1914e-06 | Val: 8.4010e-06 | T: 0.7s
Ep 36/50 | Tr: 9.2177e-06 | Val: 8.3501e-06 | T: 0.7s
Ep 37/50 | Tr: 9.0118e-06 | Val: 8.1090e-06 | T: 0.7s
Ep 38/50 | Tr: 8.8359e-06 | Val: 8.0717e-06 | T: 0.7s
Ep 39/50 | Tr: 8.6961e-06 | Val: 7.6842e-06 | T: 0.7s
Ep 40/50 | Tr: 8.4656e-06 | Val: 7.5509e-06 | T: 0.7s
Ep 41/50 | Tr: 8.3765e-06 | Val: 7.4249e-06 | T: 0.7s
Ep 42/50 | Tr: 8.4019e-06 | Val: 7.1737e-06 | T: 0.7s
Ep 43/50 | Tr: 8.1642e-06 | Val: 7.1396e-06 | T: 0.7s
Ep 44/50 | Tr: 8.0805e-06 | Val: 6.9817e-06 | T: 0.7s
Ep 45/50 | Tr: 7.9119e-06 | Val: 6.9709e-06 | T: 0.7s
Ep 46/50 | Tr: 7.8644e-06 | Val: 6.7404e-06 | T: 0.7s
Ep 47/50 | Tr: 7.7521e-06 | Val: 6.6971e-06 | T: 0.7s
Ep 48/50 | Tr: 7.5721e-06 | Val: 6.6487e-06 | T: 0.7s
