no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 30 ---
--- Job Slurm ID: 501908 | Tache: 2/30 ---
--- Modele: pmms | Strategie: unrolling | Dataset: data_0 | Mode: full ---
--- Arguments specifiques : --num_layers 30 ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : PMMS | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_0
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/pmms/unrolling/data_0/20260826-154241_full
[INFO] Modèle PMMS instancié.
--- [TRAIN] PMMS (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 1/50 | Tr: 2.1910e-05 | Val: 2.1360e-05 | T: 33.6s
Ep 2/50 | Tr: 2.1909e-05 | Val: 2.1358e-05 | T: 31.7s
Ep 3/50 | Tr: 2.1908e-05 | Val: 2.1358e-05 | T: 33.1s
Ep 4/50 | Tr: 2.1908e-05 | Val: 2.1357e-05 | T: 31.7s
Ep 5/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.7s
Ep 6/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.5s
Ep 7/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.0s
Ep 8/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.0s
Ep 9/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.2s
Ep 10/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.8s
Ep 11/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.9s
Ep 12/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.9s
Ep 13/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.0s
Ep 14/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.2s
Ep 15/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.1s
Ep 16/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.2s
Ep 17/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.9s
Ep 18/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.9s
Ep 19/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.9s
Ep 20/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.9s
Ep 21/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.2s
Ep 22/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.1s
Ep 23/50 | Tr: 2.1908e-05 | Val: 2.1357e-05 | T: 33.1s
Ep 24/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 32.9s
Ep 25/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.3s
Ep 26/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.2s
