no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 6 ---
--- Job Slurm ID: 504333 | Tache: 4/6 ---
--- Modele: ista | Strategie: unrolling | Dataset: data_2 | Mode: full ---
--- Arguments specifiques : --num_layers 50 --epochs 50 ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : ISTA | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_2
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/ista/unrolling/data_2/20260827-141158_full
[INFO] Modèle ISTA instancié.
--- [TRAIN] ISTA (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 1/50 | Tr: 1.0785e-05 | Val: 1.0517e-05 | T: 5.7s
Ep 2/50 | Tr: 1.0331e-05 | Val: 1.0090e-05 | T: 5.3s
Ep 3/50 | Tr: 1.0059e-05 | Val: 9.9362e-06 | T: 5.1s
Ep 4/50 | Tr: 9.9530e-06 | Val: 9.8643e-06 | T: 5.3s
Ep 5/50 | Tr: 9.8979e-06 | Val: 9.8225e-06 | T: 5.3s
Ep 6/50 | Tr: 9.8639e-06 | Val: 9.7952e-06 | T: 5.5s
Ep 7/50 | Tr: 9.8406e-06 | Val: 9.7757e-06 | T: 5.4s
Ep 8/50 | Tr: 9.8237e-06 | Val: 9.7611e-06 | T: 5.3s
Ep 9/50 | Tr: 9.8106e-06 | Val: 9.7497e-06 | T: 5.4s
Ep 10/50 | Tr: 9.8003e-06 | Val: 9.7405e-06 | T: 5.3s
Ep 11/50 | Tr: 9.7918e-06 | Val: 9.7329e-06 | T: 5.6s
Ep 12/50 | Tr: 9.7848e-06 | Val: 9.7265e-06 | T: 5.3s
Ep 13/50 | Tr: 9.7788e-06 | Val: 9.7211e-06 | T: 5.3s
Ep 14/50 | Tr: 9.7737e-06 | Val: 9.7164e-06 | T: 5.3s
Ep 15/50 | Tr: 9.7693e-06 | Val: 9.7124e-06 | T: 5.3s
Ep 16/50 | Tr: 9.7656e-06 | Val: 9.7089e-06 | T: 5.5s
Ep 17/50 | Tr: 9.7623e-06 | Val: 9.7059e-06 | T: 5.4s
Ep 18/50 | Tr: 9.7595e-06 | Val: 9.7034e-06 | T: 5.5s
Ep 19/50 | Tr: 9.7572e-06 | Val: 9.7012e-06 | T: 5.4s
Ep 20/50 | Tr: 9.7552e-06 | Val: 9.6994e-06 | T: 5.3s
Ep 21/50 | Tr: 9.7534e-06 | Val: 9.6977e-06 | T: 5.3s
Ep 22/50 | Tr: 9.7518e-06 | Val: 9.6963e-06 | T: 5.4s
Ep 23/50 | Tr: 9.7504e-06 | Val: 9.6949e-06 | T: 4.7s
Ep 24/50 | Tr: 9.7492e-06 | Val: 9.6937e-06 | T: 4.9s
Ep 25/50 | Tr: 9.7480e-06 | Val: 9.6926e-06 | T: 5.3s
Ep 26/50 | Tr: 9.7469e-06 | Val: 9.6916e-06 | T: 5.4s
Ep 27/50 | Tr: 9.7460e-06 | Val: 9.6907e-06 | T: 5.4s
Ep 28/50 | Tr: 9.7451e-06 | Val: 9.6898e-06 | T: 4.7s
Ep 29/50 | Tr: 9.7443e-06 | Val: 9.6890e-06 | T: 5.4s
Ep 30/50 | Tr: 9.7435e-06 | Val: 9.6883e-06 | T: 4.7s
Ep 31/50 | Tr: 9.7428e-06 | Val: 9.6876e-06 | T: 5.4s
Ep 32/50 | Tr: 9.7422e-06 | Val: 9.6870e-06 | T: 4.9s
Ep 33/50 | Tr: 9.7416e-06 | Val: 9.6864e-06 | T: 5.4s
Ep 34/50 | Tr: 9.7410e-06 | Val: 9.6859e-06 | T: 5.4s
Ep 35/50 | Tr: 9.7405e-06 | Val: 9.6854e-06 | T: 5.6s
Ep 36/50 | Tr: 9.7400e-06 | Val: 9.6849e-06 | T: 5.3s
Ep 37/50 | Tr: 9.7395e-06 | Val: 9.6845e-06 | T: 5.3s
Ep 38/50 | Tr: 9.7391e-06 | Val: 9.6841e-06 | T: 5.3s
Ep 39/50 | Tr: 9.7387e-06 | Val: 9.6837e-06 | T: 5.3s
Ep 40/50 | Tr: 9.7383e-06 | Val: 9.6833e-06 | T: 5.2s
Ep 41/50 | Tr: 9.7380e-06 | Val: 9.6830e-06 | T: 5.3s
Ep 42/50 | Tr: 9.7376e-06 | Val: 9.6826e-06 | T: 5.4s
Ep 43/50 | Tr: 9.7373e-06 | Val: 9.6823e-06 | T: 5.3s
Ep 44/50 | Tr: 9.7370e-06 | Val: 9.6820e-06 | T: 4.6s
Ep 45/50 | Tr: 9.7367e-06 | Val: 9.6818e-06 | T: 5.3s
Ep 46/50 | Tr: 9.7365e-06 | Val: 9.6815e-06 | T: 4.6s
Ep 47/50 | Tr: 9.7362e-06 | Val: 9.6812e-06 | T: 5.3s
Ep 48/50 | Tr: 9.7360e-06 | Val: 9.6810e-06 | T: 5.3s
Ep 49/50 | Tr: 9.7357e-06 | Val: 9.6808e-06 | T: 4.7s
Ep 50/50 | Tr: 9.7355e-06 | Val: 9.6806e-06 | T: 5.5s
--- [TRAIN] Terminé en 4.67 min ---
--- [TEST] ISTA (UNROLLING) | Metric: MSE | Samples: 100 ---
[INFO] Chargement des poids depuis : runs/ista/unrolling/data_2/20260827-141158_full/checkpoints/best_model.pt
[RESULT] Mean MSE: 9.7734e-06 | Median: 9.8065e-06 | Std: 1.3110e-06 | Best: 6.5921e-06 | Worst: 1.3477e-05

=== Exécution Terminée ===
--- Tache 4 (ista/unrolling/data_2) terminee ---
