no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 6 ---
--- Job Slurm ID: 504379 | Tache: 4/6 ---
--- Modele: ista | Strategie: unrolling | Dataset: data_2 | Mode: full ---
--- Arguments specifiques : --num_layers 50 --epochs 50 ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : ISTA | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_2
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/ista/unrolling/data_2/20260827-141413_full
[INFO] Modèle ISTA instancié.
--- [TRAIN] ISTA (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 1/50 | Tr: 1.0785e-05 | Val: 1.0517e-05 | T: 4.6s
Ep 2/50 | Tr: 1.0313e-05 | Val: 1.0050e-05 | T: 4.3s
Ep 3/50 | Tr: 9.9957e-06 | Val: 9.8510e-06 | T: 4.4s
Ep 4/50 | Tr: 9.8448e-06 | Val: 9.7510e-06 | T: 4.3s
Ep 5/50 | Tr: 9.7947e-06 | Val: 9.7314e-06 | T: 4.3s
Ep 6/50 | Tr: 9.7863e-06 | Val: 9.7229e-06 | T: 4.3s
Ep 7/50 | Tr: 9.7691e-06 | Val: 9.7077e-06 | T: 4.3s
Ep 8/50 | Tr: 9.7595e-06 | Val: 9.6982e-06 | T: 4.3s
Ep 9/50 | Tr: 9.7469e-06 | Val: 9.6919e-06 | T: 4.3s
Ep 10/50 | Tr: 9.7447e-06 | Val: 9.6910e-06 | T: 4.3s
Ep 11/50 | Tr: 9.7385e-06 | Val: 9.6809e-06 | T: 4.3s
Ep 12/50 | Tr: 9.7312e-06 | Val: 9.6752e-06 | T: 4.4s
Ep 13/50 | Tr: 9.7293e-06 | Val: 9.6722e-06 | T: 4.4s
Ep 14/50 | Tr: 9.7225e-06 | Val: 9.6670e-06 | T: 4.3s
Ep 15/50 | Tr: 9.7222e-06 | Val: 9.6672e-06 | T: 4.4s
Ep 16/50 | Tr: 9.7161e-06 | Val: 9.6616e-06 | T: 4.3s
Ep 17/50 | Tr: 9.7106e-06 | Val: 9.6558e-06 | T: 4.3s
Ep 18/50 | Tr: 9.7096e-06 | Val: 9.6548e-06 | T: 4.4s
Ep 19/50 | Tr: 9.7049e-06 | Val: 9.6504e-06 | T: 4.4s
Ep 20/50 | Tr: 9.7004e-06 | Val: 9.6453e-06 | T: 4.3s
Ep 21/50 | Tr: 9.7013e-06 | Val: 9.6468e-06 | T: 4.4s
Ep 22/50 | Tr: 9.6961e-06 | Val: 9.6405e-06 | T: 4.3s
Ep 23/50 | Tr: 9.6967e-06 | Val: 9.6450e-06 | T: 5.1s
Ep 24/50 | Tr: 9.6913e-06 | Val: 9.6360e-06 | T: 4.6s
Ep 25/50 | Tr: 9.6886e-06 | Val: 9.6327e-06 | T: 4.4s
Ep 26/50 | Tr: 9.6826e-06 | Val: 9.6299e-06 | T: 4.4s
