no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 30 ---
--- Job Slurm ID: 502596 | Tache: 14/30 ---
--- Modele: ista | Strategie: unrolling | Dataset: data_1 | Mode: full ---
--- Arguments specifiques : --num_layers 50 --epochs 150 ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : ISTA | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_1
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/ista/unrolling/data_1/20260826-215207_full
[INFO] Modèle ISTA instancié.
--- [TRAIN] ISTA (UNROLLING) | Epochs: 150 | Loss: MSE ---
Ep 1/150 | Tr: 2.4139e-05 | Val: 2.3084e-05 | T: 4.0s
Ep 2/150 | Tr: 2.3417e-05 | Val: 2.2708e-05 | T: 3.7s
Ep 3/150 | Tr: 2.3216e-05 | Val: 2.2595e-05 | T: 3.7s
Ep 4/150 | Tr: 2.3125e-05 | Val: 2.2516e-05 | T: 3.7s
Ep 5/150 | Tr: 2.3049e-05 | Val: 2.2439e-05 | T: 3.7s
Ep 6/150 | Tr: 2.2966e-05 | Val: 2.2343e-05 | T: 3.7s
Ep 7/150 | Tr: 2.2892e-05 | Val: 2.2282e-05 | T: 3.8s
Ep 8/150 | Tr: 2.2834e-05 | Val: 2.2210e-05 | T: 3.7s
Ep 9/150 | Tr: 2.2814e-05 | Val: 2.2204e-05 | T: 3.7s
Ep 10/150 | Tr: 2.2723e-05 | Val: 2.2088e-05 | T: 3.7s
Ep 11/150 | Tr: 2.2655e-05 | Val: 2.2027e-05 | T: 3.7s
Ep 12/150 | Tr: 2.2585e-05 | Val: 2.1956e-05 | T: 3.7s
Ep 13/150 | Tr: 2.2536e-05 | Val: 2.1950e-05 | T: 3.7s
Ep 14/150 | Tr: 2.2404e-05 | Val: 2.1934e-05 | T: 3.7s
Ep 15/150 | Tr: 2.2170e-05 | Val: 2.1391e-05 | T: 3.7s
Ep 16/150 | Tr: 2.1973e-05 | Val: 2.1112e-05 | T: 3.7s
Ep 17/150 | Tr: 2.1467e-05 | Val: 2.0956e-05 | T: 3.7s
Ep 18/150 | Tr: 2.1255e-05 | Val: 2.0902e-05 | T: 3.7s
Ep 19/150 | Tr: 2.1322e-05 | Val: 2.0777e-05 | T: 3.7s
Ep 20/150 | Tr: 2.1038e-05 | Val: 2.0481e-05 | T: 3.7s
Ep 21/150 | Tr: 2.1017e-05 | Val: 2.0470e-05 | T: 3.8s
Ep 22/150 | Tr: 2.0751e-05 | Val: 2.0204e-05 | T: 3.7s
Ep 23/150 | Tr: 2.0828e-05 | Val: 2.0123e-05 | T: 3.7s
Ep 24/150 | Tr: 2.0509e-05 | Val: 1.9874e-05 | T: 3.7s
Ep 25/150 | Tr: 2.0743e-05 | Val: 2.1585e-05 | T: 3.7s
Ep 26/150 | Tr: 2.1506e-05 | Val: 2.0305e-05 | T: 3.7s
Ep 27/150 | Tr: 2.0661e-05 | Val: 2.0199e-05 | T: 3.7s
Ep 28/150 | Tr: 2.0561e-05 | Val: 1.9989e-05 | T: 3.7s
Ep 29/150 | Tr: 2.0372e-05 | Val: 1.9772e-05 | T: 3.7s
Ep 30/150 | Tr: 2.0003e-05 | Val: 1.9478e-05 | T: 3.7s
Ep 31/150 | Tr: 1.9956e-05 | Val: 1.9600e-05 | T: 3.7s
Ep 32/150 | Tr: 2.0115e-05 | Val: 1.9656e-05 | T: 3.7s
Ep 33/150 | Tr: 1.9842e-05 | Val: 1.9213e-05 | T: 3.7s
Ep 34/150 | Tr: 1.9552e-05 | Val: 1.9264e-05 | T: 3.7s
Ep 35/150 | Tr: 1.9400e-05 | Val: 1.9284e-05 | T: 3.7s
Ep 36/150 | Tr: 1.9168e-05 | Val: 1.8401e-05 | T: 3.8s
Ep 37/150 | Tr: 1.9146e-05 | Val: 1.8924e-05 | T: 3.8s
Ep 38/150 | Tr: 1.8964e-05 | Val: 1.8874e-05 | T: 3.8s
Ep 39/150 | Tr: 1.8779e-05 | Val: 1.8174e-05 | T: 3.8s
Ep 40/150 | Tr: 1.8706e-05 | Val: 1.8132e-05 | T: 3.8s
Ep 41/150 | Tr: 1.8433e-05 | Val: 1.7983e-05 | T: 3.7s
Ep 42/150 | Tr: 1.8533e-05 | Val: 1.8711e-05 | T: 3.7s
Ep 43/150 | Tr: 1.8347e-05 | Val: 1.8074e-05 | T: 3.8s
Ep 44/150 | Tr: 1.8400e-05 | Val: 1.7982e-05 | T: 3.7s
Ep 45/150 | Tr: 1.8547e-05 | Val: 1.7733e-05 | T: 3.8s
Ep 46/150 | Tr: 1.8025e-05 | Val: 1.7585e-05 | T: 3.8s
Ep 47/150 | Tr: 1.8083e-05 | Val: 1.7245e-05 | T: 3.8s
Ep 48/150 | Tr: 1.7911e-05 | Val: 1.7172e-05 | T: 3.7s
Ep 49/150 | Tr: 1.7717e-05 | Val: 1.7208e-05 | T: 3.7s
Ep 50/150 | Tr: 1.7825e-05 | Val: 1.7300e-05 | T: 3.7s
Ep 51/150 | Tr: 1.7636e-05 | Val: 1.7611e-05 | T: 3.7s
Ep 52/150 | Tr: 1.7633e-05 | Val: 1.7162e-05 | T: 3.8s
Ep 53/150 | Tr: 1.7645e-05 | Val: 1.7188e-05 | T: 3.8s
Ep 54/150 | Tr: 1.7340e-05 | Val: 1.7389e-05 | T: 3.7s
Ep 55/150 | Tr: 1.7588e-05 | Val: 1.6663e-05 | T: 3.7s
Ep 56/150 | Tr: 1.7141e-05 | Val: 1.6534e-05 | T: 3.8s
Ep 57/150 | Tr: 1.7100e-05 | Val: 1.8216e-05 | T: 3.8s
Ep 58/150 | Tr: 1.7488e-05 | Val: 1.6635e-05 | T: 3.8s
Ep 59/150 | Tr: 1.6854e-05 | Val: 1.6659e-05 | T: 3.8s
Ep 60/150 | Tr: 1.7023e-05 | Val: 1.7553e-05 | T: 3.8s
Ep 61/150 | Tr: 1.6773e-05 | Val: 1.5953e-05 | T: 3.8s
Ep 62/150 | Tr: 1.6929e-05 | Val: 1.6147e-05 | T: 3.7s
Ep 63/150 | Tr: 1.7081e-05 | Val: 1.6796e-05 | T: 3.7s
Ep 64/150 | Tr: 1.6553e-05 | Val: 1.5810e-05 | T: 3.7s
Ep 65/150 | Tr: 1.6692e-05 | Val: 1.6470e-05 | T: 3.8s
Ep 66/150 | Tr: 1.6621e-05 | Val: 1.6325e-05 | T: 3.8s
Ep 67/150 | Tr: 1.6488e-05 | Val: 1.6812e-05 | T: 3.7s
Ep 68/150 | Tr: 1.6223e-05 | Val: 1.5572e-05 | T: 3.7s
Ep 69/150 | Tr: 1.6134e-05 | Val: 1.6090e-05 | T: 3.7s
Ep 70/150 | Tr: 1.6295e-05 | Val: 1.5798e-05 | T: 3.7s
Ep 71/150 | Tr: 1.7244e-05 | Val: 1.5503e-05 | T: 3.7s
Ep 72/150 | Tr: 1.6307e-05 | Val: 1.6360e-05 | T: 3.8s
Ep 73/150 | Tr: 1.6137e-05 | Val: 1.5574e-05 | T: 3.7s
Ep 74/150 | Tr: 1.6060e-05 | Val: 1.5454e-05 | T: 3.7s
Ep 75/150 | Tr: 1.6359e-05 | Val: 1.6615e-05 | T: 3.8s
Ep 76/150 | Tr: 1.6430e-05 | Val: 1.5792e-05 | T: 3.7s
Ep 77/150 | Tr: 1.6061e-05 | Val: 1.5922e-05 | T: 3.7s
Ep 78/150 | Tr: 1.7092e-05 | Val: 1.6174e-05 | T: 3.8s
Ep 79/150 | Tr: 1.6873e-05 | Val: 1.6206e-05 | T: 3.7s
Ep 80/150 | Tr: 1.6566e-05 | Val: 1.5829e-05 | T: 3.7s
Ep 81/150 | Tr: 1.6604e-05 | Val: 1.6473e-05 | T: 3.8s
Ep 82/150 | Tr: 1.6423e-05 | Val: 1.5861e-05 | T: 3.7s
Ep 83/150 | Tr: 1.6598e-05 | Val: 1.5645e-05 | T: 3.7s
Ep 84/150 | Tr: 1.6179e-05 | Val: 1.5694e-05 | T: 3.8s
Ep 85/150 | Tr: 1.6431e-05 | Val: 1.6502e-05 | T: 3.7s
Ep 86/150 | Tr: 1.6539e-05 | Val: 1.7243e-05 | T: 3.7s
Ep 87/150 | Tr: 1.6267e-05 | Val: 1.5601e-05 | T: 3.7s
Ep 88/150 | Tr: 1.6053e-05 | Val: 1.6051e-05 | T: 3.7s
Ep 89/150 | Tr: 1.6390e-05 | Val: 1.5823e-05 | T: 3.7s
Ep 90/150 | Tr: 1.6274e-05 | Val: 1.5350e-05 | T: 3.7s
Ep 91/150 | Tr: 1.6411e-05 | Val: 1.5585e-05 | T: 3.7s
Ep 92/150 | Tr: 1.6273e-05 | Val: 1.5424e-05 | T: 3.7s
Ep 93/150 | Tr: 1.5961e-05 | Val: 1.5270e-05 | T: 3.8s
Ep 94/150 | Tr: 1.6089e-05 | Val: 1.5816e-05 | T: 3.8s
Ep 95/150 | Tr: 1.6609e-05 | Val: 1.5605e-05 | T: 3.8s
Ep 96/150 | Tr: 1.6045e-05 | Val: 1.5368e-05 | T: 3.8s
Ep 97/150 | Tr: 1.6155e-05 | Val: 1.6160e-05 | T: 3.7s
Ep 98/150 | Tr: 1.6169e-05 | Val: 1.5567e-05 | T: 3.8s
Ep 99/150 | Tr: 1.6095e-05 | Val: 1.5157e-05 | T: 3.7s
Ep 100/150 | Tr: 1.6197e-05 | Val: 1.6493e-05 | T: 3.7s
Ep 101/150 | Tr: 1.6094e-05 | Val: 1.5634e-05 | T: 3.8s
Ep 102/150 | Tr: 1.6049e-05 | Val: 1.5448e-05 | T: 3.8s
Ep 103/150 | Tr: 1.6016e-05 | Val: 1.5259e-05 | T: 3.8s
Ep 104/150 | Tr: 1.5964e-05 | Val: 1.5254e-05 | T: 3.8s
Ep 105/150 | Tr: 1.6117e-05 | Val: 1.5979e-05 | T: 3.8s
Ep 106/150 | Tr: 1.6183e-05 | Val: 1.5759e-05 | T: 3.8s
Ep 107/150 | Tr: 1.6012e-05 | Val: 1.5331e-05 | T: 3.8s
Ep 108/150 | Tr: 1.5811e-05 | Val: 1.5295e-05 | T: 3.7s
Ep 109/150 | Tr: 1.6084e-05 | Val: 1.6412e-05 | T: 3.8s
Ep 110/150 | Tr: 1.6380e-05 | Val: 1.5646e-05 | T: 3.8s
Ep 111/150 | Tr: 1.5951e-05 | Val: 1.5329e-05 | T: 3.8s
Ep 112/150 | Tr: 1.5889e-05 | Val: 1.5442e-05 | T: 3.8s
Ep 113/150 | Tr: 1.5922e-05 | Val: 1.6481e-05 | T: 3.7s
Ep 114/150 | Tr: 1.5848e-05 | Val: 1.5456e-05 | T: 3.8s
Ep 115/150 | Tr: 1.5785e-05 | Val: 1.6415e-05 | T: 3.8s
Ep 116/150 | Tr: 1.5654e-05 | Val: 1.4974e-05 | T: 3.8s
Ep 117/150 | Tr: 1.5805e-05 | Val: 1.4966e-05 | T: 3.7s
Ep 118/150 | Tr: 1.5564e-05 | Val: 1.5209e-05 | T: 3.8s
Ep 119/150 | Tr: 1.5662e-05 | Val: 1.5078e-05 | T: 3.8s
Ep 120/150 | Tr: 1.5677e-05 | Val: 1.6359e-05 | T: 3.7s
Ep 121/150 | Tr: 1.5755e-05 | Val: 1.4980e-05 | T: 3.8s
Ep 122/150 | Tr: 1.5618e-05 | Val: 1.5514e-05 | T: 3.8s
Ep 123/150 | Tr: 1.5358e-05 | Val: 1.5003e-05 | T: 3.8s
Ep 124/150 | Tr: 1.5318e-05 | Val: 1.5796e-05 | T: 3.8s
Ep 125/150 | Tr: 1.5960e-05 | Val: 1.4684e-05 | T: 3.8s
Ep 126/150 | Tr: 1.5115e-05 | Val: 1.4384e-05 | T: 3.8s
Ep 127/150 | Tr: 1.5652e-05 | Val: 1.5429e-05 | T: 3.8s
Ep 128/150 | Tr: 1.4972e-05 | Val: 1.4190e-05 | T: 3.7s
Ep 129/150 | Tr: 1.5546e-05 | Val: 1.5225e-05 | T: 3.7s
Ep 130/150 | Tr: 1.4979e-05 | Val: 1.4507e-05 | T: 3.7s
Ep 131/150 | Tr: 1.5010e-05 | Val: 1.4441e-05 | T: 3.8s
Ep 132/150 | Tr: 1.4910e-05 | Val: 1.4655e-05 | T: 3.7s
Ep 133/150 | Tr: 1.5048e-05 | Val: 1.4959e-05 | T: 3.7s
Ep 134/150 | Tr: 1.5584e-05 | Val: 1.4604e-05 | T: 3.7s
Ep 135/150 | Tr: 1.4966e-05 | Val: 1.4000e-05 | T: 3.7s
Ep 136/150 | Tr: 1.4733e-05 | Val: 1.4563e-05 | T: 3.8s
Ep 137/150 | Tr: 1.4670e-05 | Val: 1.4750e-05 | T: 3.7s
Ep 138/150 | Tr: 1.4864e-05 | Val: 1.3879e-05 | T: 3.7s
Ep 139/150 | Tr: 1.4604e-05 | Val: 1.4005e-05 | T: 3.7s
