no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 6 ---
--- Job Slurm ID: 504352 | Tache: 0/6 ---
--- Modele: ista | Strategie: unrolling | Dataset: data_0 | Mode: full ---
--- Arguments specifiques : --num_layers 50 --epochs 50 ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : ISTA | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_0
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/ista/unrolling/data_0/20260827-141301_full
[INFO] Modèle ISTA instancié.
--- [TRAIN] ISTA (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 1/50 | Tr: 2.4139e-05 | Val: 2.3084e-05 | T: 3.0s
Ep 2/50 | Tr: 2.3417e-05 | Val: 2.2708e-05 | T: 2.6s
Ep 3/50 | Tr: 2.3216e-05 | Val: 2.2595e-05 | T: 2.6s
Ep 4/50 | Tr: 2.3125e-05 | Val: 2.2516e-05 | T: 2.6s
Ep 5/50 | Tr: 2.3050e-05 | Val: 2.2445e-05 | T: 2.6s
Ep 6/50 | Tr: 2.2991e-05 | Val: 2.2395e-05 | T: 2.7s
Ep 7/50 | Tr: 2.2945e-05 | Val: 2.2351e-05 | T: 2.6s
Ep 8/50 | Tr: 2.2903e-05 | Val: 2.2311e-05 | T: 2.5s
Ep 9/50 | Tr: 2.2864e-05 | Val: 2.2273e-05 | T: 2.6s
Ep 10/50 | Tr: 2.2828e-05 | Val: 2.2239e-05 | T: 2.6s
Ep 11/50 | Tr: 2.2795e-05 | Val: 2.2207e-05 | T: 2.7s
Ep 12/50 | Tr: 2.2766e-05 | Val: 2.2182e-05 | T: 2.6s
Ep 13/50 | Tr: 2.2745e-05 | Val: 2.2168e-05 | T: 2.7s
Ep 14/50 | Tr: 2.2736e-05 | Val: 2.2162e-05 | T: 2.6s
Ep 15/50 | Tr: 2.2732e-05 | Val: 2.2159e-05 | T: 2.6s
Ep 16/50 | Tr: 2.2729e-05 | Val: 2.2156e-05 | T: 2.6s
Ep 17/50 | Tr: 2.2727e-05 | Val: 2.2155e-05 | T: 2.6s
Ep 18/50 | Tr: 2.2725e-05 | Val: 2.2154e-05 | T: 2.6s
Ep 19/50 | Tr: 2.2724e-05 | Val: 2.2152e-05 | T: 2.6s
Ep 20/50 | Tr: 2.2723e-05 | Val: 2.2152e-05 | T: 2.6s
Ep 21/50 | Tr: 2.2723e-05 | Val: 2.2151e-05 | T: 2.7s
Ep 22/50 | Tr: 2.2722e-05 | Val: 2.2150e-05 | T: 2.6s
Ep 23/50 | Tr: 2.2721e-05 | Val: 2.2150e-05 | T: 2.6s
Ep 24/50 | Tr: 2.2721e-05 | Val: 2.2150e-05 | T: 2.6s
Ep 25/50 | Tr: 2.2721e-05 | Val: 2.2149e-05 | T: 2.6s
Ep 26/50 | Tr: 2.2720e-05 | Val: 2.2149e-05 | T: 2.6s
Ep 27/50 | Tr: 2.2720e-05 | Val: 2.2149e-05 | T: 2.6s
Ep 28/50 | Tr: 2.2720e-05 | Val: 2.2148e-05 | T: 2.7s
Ep 29/50 | Tr: 2.2719e-05 | Val: 2.2148e-05 | T: 2.7s
Ep 30/50 | Tr: 2.2719e-05 | Val: 2.2148e-05 | T: 2.7s
Ep 31/50 | Tr: 2.2719e-05 | Val: 2.2148e-05 | T: 2.6s
Ep 32/50 | Tr: 2.2719e-05 | Val: 2.2147e-05 | T: 2.6s
Ep 33/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.6s
Ep 34/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.6s
Ep 35/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.6s
Ep 36/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.6s
Ep 37/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.6s
Ep 38/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.6s
Ep 39/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.7s
Ep 40/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.6s
Ep 41/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.7s
Ep 42/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.7s
Ep 43/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.7s
Ep 44/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.7s
Ep 45/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.8s
Ep 46/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.6s
Ep 47/50 | Tr: 2.2718e-05 | Val: 2.2147e-05 | T: 2.6s
Ep 48/50 | Tr: 2.2718e-05 | Val: 2.2146e-05 | T: 2.6s
Ep 49/50 | Tr: 2.2718e-05 | Val: 2.2146e-05 | T: 2.6s
Ep 50/50 | Tr: 2.2718e-05 | Val: 2.2146e-05 | T: 2.7s
--- [TRAIN] Terminé en 2.30 min ---
--- [TEST] ISTA (UNROLLING) | Metric: MSE | Samples: 100 ---
[INFO] Chargement des poids depuis : runs/ista/unrolling/data_0/20260827-141301_full/checkpoints/best_model.pt
[RESULT] Mean MSE: 2.3105e-05 | Median: 2.2930e-05 | Std: 3.6234e-06 | Best: 1.6371e-05 | Worst: 3.2192e-05

=== Exécution Terminée ===
--- Tache 0 (ista/unrolling/data_0) terminee ---
