no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 12 ---
--- Job Slurm ID: 504170 | Tache: 5/12 ---
--- Modele: fctn | Strategie: unrolling | Dataset: data_1 | Mode: full ---
--- Arguments specifiques : (aucun) ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : FCTN | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_1
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/fctn/unrolling/data_1/20260827-120230_full
[INFO] Modèle FCTN instancié.
--- [TRAIN] FCTN (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 1/50 | Tr: 2.5936e-02 | Val: 2.4947e-05 | T: 1.5s
Ep 2/50 | Tr: 3.9726e-05 | Val: 2.4997e-05 | T: 1.2s
Ep 3/50 | Tr: 3.0714e-05 | Val: 2.5002e-05 | T: 1.2s
Ep 4/50 | Tr: 2.8329e-05 | Val: 2.5006e-05 | T: 1.2s
Ep 5/50 | Tr: 2.7347e-05 | Val: 2.4815e-05 | T: 1.2s
Ep 6/50 | Tr: 2.6541e-05 | Val: 2.4971e-05 | T: 1.2s
Ep 7/50 | Tr: 2.6072e-05 | Val: 2.4528e-05 | T: 1.2s
Ep 8/50 | Tr: 2.5581e-05 | Val: 2.4673e-05 | T: 1.2s
Ep 9/50 | Tr: 2.5539e-05 | Val: 2.4091e-05 | T: 1.2s
Ep 10/50 | Tr: 2.5334e-05 | Val: 2.4180e-05 | T: 1.2s
Ep 11/50 | Tr: 2.5183e-05 | Val: 2.4473e-05 | T: 1.2s
Ep 12/50 | Tr: 2.5054e-05 | Val: 2.4452e-05 | T: 1.2s
Ep 13/50 | Tr: 2.4903e-05 | Val: 2.4025e-05 | T: 1.2s
Ep 14/50 | Tr: 2.4610e-05 | Val: 2.3425e-05 | T: 1.2s
Ep 15/50 | Tr: 2.4170e-05 | Val: 2.2846e-05 | T: 1.2s
Ep 16/50 | Tr: 2.3611e-05 | Val: 2.2164e-05 | T: 1.2s
Ep 17/50 | Tr: 2.3131e-05 | Val: 2.1797e-05 | T: 1.2s
Ep 18/50 | Tr: 2.2700e-05 | Val: 2.1378e-05 | T: 1.2s
Ep 19/50 | Tr: 2.2269e-05 | Val: 2.1032e-05 | T: 1.3s
Ep 20/50 | Tr: 2.1883e-05 | Val: 2.0573e-05 | T: 1.3s
Ep 21/50 | Tr: 2.1400e-05 | Val: 2.0636e-05 | T: 1.2s
Ep 22/50 | Tr: 2.1123e-05 | Val: 2.0024e-05 | T: 1.3s
Ep 23/50 | Tr: 2.0840e-05 | Val: 1.9731e-05 | T: 1.2s
Ep 24/50 | Tr: 2.0812e-05 | Val: 1.9507e-05 | T: 1.2s
Ep 25/50 | Tr: 2.0364e-05 | Val: 1.9284e-05 | T: 1.2s
Ep 26/50 | Tr: 2.0197e-05 | Val: 1.9080e-05 | T: 1.2s
Ep 27/50 | Tr: 1.9903e-05 | Val: 1.8899e-05 | T: 1.2s
Ep 28/50 | Tr: 1.9855e-05 | Val: 1.8889e-05 | T: 1.2s
Ep 29/50 | Tr: 1.9525e-05 | Val: 1.8608e-05 | T: 1.2s
Ep 30/50 | Tr: 1.9383e-05 | Val: 1.8534e-05 | T: 1.2s
Ep 31/50 | Tr: 1.9190e-05 | Val: 1.8444e-05 | T: 1.2s
Ep 32/50 | Tr: 1.9115e-05 | Val: 1.8389e-05 | T: 1.2s
Ep 33/50 | Tr: 1.9039e-05 | Val: 1.8528e-05 | T: 1.2s
