no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 12 ---
--- Job Slurm ID: 504177 | Tache: 11/12 ---
--- Modele: resu | Strategie: unrolling | Dataset: data_2 | Mode: full ---
--- Arguments specifiques : (aucun) ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : RESU | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_2
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/resu/unrolling/data_2/20260827-120348_full
[INFO] Modèle RESU instancié.
--- [TRAIN] RESU (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 1/50 | Tr: 2.1443e-02 | Val: 1.1472e-05 | T: 2.2s
Ep 2/50 | Tr: 1.1541e-05 | Val: 1.1479e-05 | T: 1.8s
Ep 3/50 | Tr: 1.1539e-05 | Val: 1.1481e-05 | T: 1.9s
Ep 4/50 | Tr: 1.1540e-05 | Val: 1.1478e-05 | T: 1.6s
Ep 5/50 | Tr: 1.1539e-05 | Val: 1.1479e-05 | T: 1.6s
Ep 6/50 | Tr: 1.1538e-05 | Val: 1.1478e-05 | T: 1.6s
Ep 7/50 | Tr: 1.1539e-05 | Val: 1.1479e-05 | T: 1.6s
Ep 8/50 | Tr: 1.1537e-05 | Val: 1.1478e-05 | T: 1.8s
Ep 9/50 | Tr: 1.1539e-05 | Val: 1.1479e-05 | T: 1.7s
Ep 10/50 | Tr: 1.1538e-05 | Val: 1.1479e-05 | T: 1.6s
Ep 11/50 | Tr: 1.1539e-05 | Val: 1.1478e-05 | T: 1.6s
Ep 12/50 | Tr: 1.1538e-05 | Val: 1.1480e-05 | T: 1.8s
Ep 13/50 | Tr: 1.1537e-05 | Val: 1.1477e-05 | T: 1.8s
Ep 14/50 | Tr: 1.1538e-05 | Val: 1.1478e-05 | T: 1.8s
Ep 15/50 | Tr: 1.1537e-05 | Val: 1.1478e-05 | T: 1.8s
Ep 16/50 | Tr: 1.1536e-05 | Val: 1.1477e-05 | T: 1.6s
Ep 17/50 | Tr: 1.1556e-05 | Val: 1.1479e-05 | T: 1.8s
Ep 18/50 | Tr: 1.1540e-05 | Val: 1.1483e-05 | T: 1.9s
Ep 19/50 | Tr: 1.1540e-05 | Val: 1.1482e-05 | T: 1.6s
Ep 20/50 | Tr: 1.1540e-05 | Val: 1.1483e-05 | T: 1.8s
Ep 21/50 | Tr: 1.1539e-05 | Val: 1.1483e-05 | T: 1.7s
Ep 22/50 | Tr: 1.1539e-05 | Val: 1.1483e-05 | T: 1.8s
Ep 23/50 | Tr: 1.1539e-05 | Val: 1.1483e-05 | T: 1.7s
Ep 24/50 | Tr: 1.1539e-05 | Val: 1.1483e-05 | T: 1.5s
Ep 25/50 | Tr: 1.1540e-05 | Val: 1.1482e-05 | T: 1.5s
Ep 26/50 | Tr: 1.1540e-05 | Val: 1.1483e-05 | T: 1.8s
